sleep_hours,study_hours,break_minutes,phone_hours,stress_level,caffeine,previous_productivity,productivity
4.5,2.6,43,5.0,5,0,89,Low
4.1,2.0,19,2.0,6,2,86,Low
4.5,4.0,59,5.7,4,0,76,Low
7.4,2.7,33,5.3,9,2,60,Low
4.4,0.6,33,1.4,8,1,75,Low
5.6,1.4,15,4.8,10,0,55,Low
8.2,4.4,56,3.7,10,0,34,Low
4.1,4.1,36,3.6,1,1,81,Low
8.1,0.6,6,2.7,2,0,83,Low
5.4,1.7,51,3.3,9,2,62,Low
4.6,1.8,18,2.7,8,2,79,Low
7.5,4.2,24,3.5,3,0,67,Medium
7.1,0.6,26,4.0,8,2,56,Low
8.4,1.1,15,4.2,1,3,44,Low
7.7,4.9,31,3.4,10,0,90,Low
8.0,1.5,7,4.5,4,1,50,Low
5.4,4.1,21,1.3,3,3,75,Medium
4.9,1.8,48,1.7,6,0,98,Low
7.8,1.0,60,5.0,7,1,35,Low
8.0,1.8,32,2.3,4,2,67,Low
9.0,4.5,33,0.6,7,1,91,High
6.1,5.2,25,1.3,9,3,91,Medium
5.9,5.1,51,1.7,2,2,75,Medium
7.9,2.7,20,5.8,3,0,42,Low
5.7,4.2,41,3.7,5,2,32,Low
8.7,1.6,24,5.6,3,0,35,Low
8.3,2.1,10,3.7,8,0,37,Low
6.1,5.4,23,3.1,10,1,73,Low
7.8,0.6,9,2.2,8,1,62,Low
7.8,1.0,7,3.8,8,1,79,Low
4.5,1.6,5,1.3,9,3,40,Low
8.5,0.6,42,5.4,4,3,57,Low
6.5,1.5,19,5.1,5,1,99,Low
8.1,3.7,38,2.2,5,3,70,Medium
5.6,2.8,39,5.7,8,2,45,Low
8.5,5.4,53,5.0,7,2,97,Medium
5.9,5.0,29,4.2,9,3,77,Low
4.1,2.4,28,1.2,8,3,85,Low
8.5,1.9,16,3.1,2,2,93,Medium
4.5,2.6,22,3.3,10,0,88,Low
5.6,3.7,19,1.8,4,2,91,Medium
8.8,2.0,48,0.9,6,2,40,Medium
8.8,3.9,20,4.8,2,3,47,Medium
6.9,2.8,31,1.2,7,2,48,Low
7.2,3.5,12,3.8,3,3,84,Medium
6.2,2.9,50,5.7,3,3,55,Low
5.5,2.1,29,5.3,2,1,35,Low
5.6,5.7,21,2.0,8,2,33,Low
7.4,4.7,33,5.2,6,0,58,Low
7.8,1.3,57,0.5,1,1,88,Medium
8.0,5.3,12,0.6,1,3,46,High
7.9,3.2,19,3.8,7,3,72,Low
4.5,5.4,31,2.5,8,0,95,Low
6.5,4.9,50,2.6,5,3,63,Medium
4.3,2.8,54,3.6,5,2,37,Low
6.7,0.6,56,1.6,4,1,42,Low
6.2,2.0,11,1.7,6,3,37,Low
8.4,3.5,7,3.2,6,3,94,Medium
5.8,4.0,33,4.6,3,0,72,Low
4.6,1.9,48,3.9,9,2,68,Low
4.7,1.3,57,2.1,7,3,88,Low
7.8,5.1,28,2.9,1,0,73,Medium
7.1,5.9,7,1.4,7,3,38,Medium
4.5,3.4,24,0.9,5,0,66,Low
4.4,1.4,50,4.8,5,0,65,Low
7.5,2.0,19,2.0,2,2,57,Medium
4.4,0.6,29,1.5,4,3,71,Low
8.1,5.5,34,4.3,6,2,72,Medium
7.5,1.1,18,3.9,10,0,71,Low
4.4,3.7,11,4.0,7,1,95,Low
4.4,2.0,21,1.8,5,3,84,Low
8.9,3.5,48,1.8,9,1,77,Medium
5.9,4.1,24,1.7,3,3,51,Medium
5.9,5.1,40,1.5,1,2,56,Medium
8.1,1.6,13,4.1,4,2,96,Low
8.7,0.6,42,5.2,9,2,42,Low
8.9,1.3,52,4.5,4,2,74,Low
7.8,5.5,26,4.9,2,2,39,Medium
5.9,5.3,58,2.7,10,1,38,Low
4.4,3.8,57,4.1,5,2,83,Low
7.9,3.8,57,2.4,3,0,56,Medium
6.8,4.2,6,3.4,9,0,63,Low
6.1,1.5,28,3.1,4,1,30,Low
8.5,5.5,12,1.5,6,3,61,Medium
4.6,2.8,15,2.6,2,0,100,Low
6.5,2.6,17,5.8,6,3,96,Low
4.1,3.4,21,1.9,3,1,49,Low
6.3,0.8,12,1.2,9,3,64,Low
4.3,1.4,25,2.8,2,3,46,Low
4.6,4.6,22,4.8,9,3,47,Low
4.6,1.0,34,3.7,5,3,74,Low
7.2,3.8,22,4.2,8,1,82,Low
7.7,1.8,50,1.5,2,0,97,Medium
6.9,2.6,51,3.9,6,2,94,Low
8.8,2.1,35,2.3,3,3,30,Medium
5.9,2.5,42,5.1,10,0,87,Low
5.4,4.5,36,4.0,5,0,55,Low
8.3,2.1,15,1.6,8,1,49,Low
5.1,3.6,49,0.9,10,0,39,Low
8.8,3.1,29,0.7,1,1,88,High
4.1,4.2,37,2.5,5,3,70,Low
8.8,5.7,42,2.0,3,3,34,High
4.2,4.5,45,4.1,4,2,94,Low
8.5,1.7,12,3.2,2,2,46,Low
6.6,0.7,15,2.0,9,2,51,Low
9.0,1.9,26,1.3,3,0,70,Medium
4.4,3.8,55,1.2,2,3,97,Medium
6.8,0.8,28,5.3,10,1,98,Low
8.8,3.2,45,1.8,9,2,40,Low
6.6,3.8,21,4.1,7,1,85,Low
7.1,2.3,16,5.0,6,1,80,Low
7.5,4.7,50,3.9,1,2,50,Medium
6.3,1.1,36,5.2,5,3,55,Low
7.1,0.9,19,2.7,3,2,48,Low
6.9,4.5,20,5.8,1,1,89,Medium
8.5,3.2,58,1.2,4,2,100,High
4.2,4.3,26,1.1,2,1,76,Medium
5.4,2.9,32,4.1,2,1,100,Low
8.8,1.9,24,5.7,3,2,55,Low
8.5,5.0,37,4.9,8,0,69,Low
6.3,4.9,14,0.9,8,2,34,Low
7.1,4.3,44,2.0,7,0,50,Low
5.4,2.0,36,5.6,6,1,33,Low
4.9,3.7,54,1.9,9,1,52,Low
6.3,2.5,37,4.8,4,0,44,Low
5.8,1.0,6,5.0,1,1,37,Low
6.9,5.5,37,3.2,8,0,70,Medium
4.4,1.3,37,2.6,7,0,48,Low
8.9,5.7,45,3.0,7,1,75,Medium
8.9,3.0,17,1.7,3,3,57,Medium
